Time(s) | Speed(km/h) | RPM | Gear | Torque(Nm) | Power(HP)
----------------------------------------------------------------------
001.61 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
001.82 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
002.02 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
002.22 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
002.41 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
002.61 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
002.81 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
003.01 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
003.21 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
003.41 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
003.60 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
003.81 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
004.01 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
004.21 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
004.41 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
004.61 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
004.81 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
005.01 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
005.21 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
005.41 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
005.60 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
005.80 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
006.02 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
006.22 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
006.42 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
006.62 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
006.81 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
007.01 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
007.21 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
007.41 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
007.61 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
007.81 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
008.01 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
008.21 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
008.41 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
008.61 | 000 km/h | 0800 RPM |  N | 000 Nm | 000 HP
